-0.02,-0.02,-0.05,N/A,0.03,0.03,N/A,0.02,0.02,0.09,-0.06,-0.01,0.00,0.03,0.04,0.03,0.03,-0.03,-0.02,0.04,-0.01,-0.00,0.04,-0.00,-0.03,0.01,-0.01,0.01,0.00,N/A,0.02,N/A,-0.02,0.05,0.04,-0.02,0.04,0.01,-0.04,-0.02,0.02,0.03,-0.00,0.11,N/A,N/A,-0.00,0.01,0.03,0.16,0.09,N/A,1,-0.02,N/A,N/A,0.10,0.03,N/A,-0.04,0.00,-0.04,0.04,N/A
0.23,-0.00,0.12,N/A,0.16,-0.02,N/A,-0.02,0.07,0.12,-0.01,0.16,0.27,0.02,0.10,0.20,-0.02,0.17,0.01,0.24,0.15,0.07,0.10,0.35,0.17,0.17,0.22,0.10,0.12,N/A,0.03,N/A,0.08,0.11,0.24,0.07,0.06,0.16,0.06,-0.00,0.05,0.27,0.11,-0.03,N/A,N/A,0.20,0.14,0.04,0.00,-0.04,N/A,-0.02,1,N/A,N/A,0.03,0.03,N/A,0.04,0.26,0.06,0.08,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.03,0.06,N/A,0.04,-0.03,N/A,0.09,-0.02,-0.02,-0.15,0.08,0.03,-0.14,0.10,0.01,-0.03,0.01,0.04,0.11,-0.00,0.15,-0.03,-0.00,0.01,-0.02,0.09,0.21,-0.00,N/A,0.01,N/A,0.02,0.11,0.11,-0.05,-0.10,0.04,0.12,0.03,0.06,0.07,0.05,0.07,N/A,N/A,-0.05,0.00,-0.09,0.11,0.02,N/A,0.10,0.03,N/A,N/A,1,0.04,N/A,-0.06,-0.07,0.12,0.01,N/A
-0.02,0.07,0.02,N/A,0.01,0.00,N/A,0.12,0.01,0.77,0.09,0.01,0.04,0.03,-0.01,0.08,0.00,-0.02,0.04,0.11,0.09,0.08,0.10,-0.01,-0.02,0.13,-0.02,0.01,0.08,N/A,0.03,N/A,0.05,-0.01,0.11,0.11,0.07,-0.03,-0.03,0.07,0.02,0.09,0.02,0.06,N/A,N/A,-0.01,0.03,0.09,0.11,0.06,N/A,0.03,0.03,N/A,N/A,0.04,1,N/A,0.01,0.03,-0.03,0.00,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.01,-0.01,0.02,N/A,-0.01,-0.05,N/A,-0.02,-0.01,0.05,-0.04,-0.02,0.02,0.02,0.02,0.11,-0.05,0.03,-0.01,0.14,0.06,0.04,0.18,0.00,0.03,0.05,0.05,0.04,-0.01,N/A,0.06,N/A,-0.03,0.01,0.14,0.03,0.06,0.03,-0.01,-0.02,0.05,0.06,-0.06,-0.06,N/A,N/A,-0.00,0.03,0.04,-0.02,0.05,N/A,-0.04,0.04,N/A,N/A,-0.06,0.01,N/A,1,0.04,-0.01,-0.04,N/A
0.13,0.04,-0.02,N/A,0.06,0.05,N/A,0.01,0.05,0.02,0.01,0.13,0.00,0.08,0.16,0.17,0.05,-0.01,-0.01,0.22,-0.06,0.10,0.08,0.06,-0.01,0.31,0.15,0.01,0.31,N/A,-0.01,N/A,-0.02,0.05,0.22,0.07,0.06,0.14,0.07,0.03,0.10,0.05,-0.02,-0.10,N/A,N/A,0.03,0.01,-0.00,0.04,0.01,N/A,0.00,0.26,N/A,N/A,-0.07,0.03,N/A,0.04,1,0.07,-0.00,N/A
-0.02,0.01,0.03,N/A,0.06,-0.08,N/A,0.00,0.04,-0.07,-0.03,0.08,0.01,-0.00,-0.01,0.06,-0.08,-0.03,0.09,0.10,-0.04,0.14,-0.01,0.03,-0.03,0.01,0.04,-0.00,0.01,N/A,-0.03,N/A,0.19,0.05,0.10,0.10,-0.00,-0.03,1.00,0.00,0.06,0.02,0.06,-0.04,N/A,N/A,0.05,0.08,0.06,0.06,-0.04,N/A,-0.04,0.06,N/A,N/A,0.12,-0.03,N/A,-0.01,0.07,1,0.01,N/A
0.27,0.15,0.04,N/A,0.04,0.05,N/A,-0.04,0.02,0.16,0.02,0.29,0.24,0.05,0.34,0.09,0.05,0.06,0.11,0.09,0.06,-0.04,0.06,0.08,0.06,0.11,0.19,0.08,-0.00,N/A,0.09,N/A,0.13,0.29,0.09,0.06,-0.03,0.13,0.01,0.14,0.07,0.04,0.11,-0.01,N/A,N/A,0.02,0.09,-0.03,0.04,0.06,N/A,0.04,0.08,N/A,N/A,0.01,0.00,N/A,-0.04,-0.00,0.01,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
